Country,Health.Care.Index,Exp..Index,Crime.Index,Safety.Index,Cost.of.Living.Index,Rent.Index,Cost.of.Living.Plus.Rent.Index,Groceries.Index,Restaurant.Price.Index,Local.Purchasing.Power.Index
Mexico,72.82,131.43,53.9,46.1,35.14,12.05,24.15,34.85,31.94,41.1
Canada,70.8,129.99,43.63,56.37,68.78,35.06,52.74,68.1,64.28,101.67
Argentina,69,125.05,64.09,35.91,32.13,6.88,20.12,26.83,27.99,33.64
USA,68.93,126.63,48.41,51.59,69.92,46.86,58.95,70.06,65.75,99.88
Ecuador,68.89,123.46,57.87,42.13,35.73,9.73,23.36,32.95,25.81,33.55
Uruguay,67.97,122.76,52.13,47.87,59.05,15,38.09,48.69,57.73,28.64
Colombia,67.49,121.18,58.71,41.29,25.23,7.82,16.95,22.98,18.3,28.27
Guatemala,66.98,119.62,57.99,42.01,41.34,14.93,28.77,40.56,29.05,26.88
Chile,64.21,116.82,56.51,43.49,37.16,11.41,24.91,34.1,33.68,35.79
Costa Rica,62.97,113.47,53.86,46.14,43.65,13.31,29.21,42.4,36.29,38.59
Panama,61.06,108.18,43.61,56.39,48.25,19.51,34.58,47.28,40.15,32.66
Brazil,57.89,102.97,66.79,33.21,34.81,8.46,22.28,29.99,25.58,27.28
Puerto Rico,56.93,103.43,61.77,38.23,64.58,21.59,44.13,66.06,53.57,65.41
Peru,55.83,97.57,67.24,32.76,30.74,10.18,20.95,29.23,20.23,28.52
Dominican Republic,55.55,97.31,61.49,38.51,41.97,10.29,26.9,38.05,34.35,21.62
Trinidad And Tobago,53.79,99.03,70.57,29.43,53.38,14.14,34.71,52.79,50.59,37.35
Venezuela,39.15,68.34,83.16,16.84,41.77,8.07,25.74,36.08,42.92,12.72
