"","Country","Health.Care.Index","Exp..Index","Code","Year","Out.of.pocket.expenditure.per.capita..PPP..current.international...","Crime.Index","Safety.Index","Cost.of.Living.Index","Rent.Index","Cost.of.Living.Plus.Rent.Index","Groceries.Index","Restaurant.Price.Index","Local.Purchasing.Power.Index"
"1","South Korea",83.04,152.09,"KOR",2019,1065.02795410156,26.13,73.87,66.95,16.47,42.94,84.47,36.82,81.3
"2","Japan",80.52,146.92,"JPN",2019,592.065002441406,22.24,77.76,62.77,20.85,42.83,66.56,35.57,91.13
"3","France",79.96,146.45,"FRA",2019,508.667633056641,54.39,45.61,65.55,24.88,46.2,63.17,63.58,79.61
"4","Denmark",79.77,146.99,"DNK",2019,852.345825195313,26.34,73.66,73.09,29.18,52.21,59.94,81.12,99.76
"5","Spain",78.14,143.71,"ESP",2019,868.953308105469,34.97,65.03,47.51,21.4,35.09,39.45,47.54,77.29
"6","Australia",77.76,141.72,"AUS",2019,846.112548828125,44.83,55.17,72.27,35.67,54.86,72.75,64.07,117.56
"7","Thailand",77.57,141.3,"THA",2019,63.4015998840332,38.92,61.08,38.62,12.54,26.21,40.5,19.81,30.82
"8","Norway",77.08,141.05,"NOR",2019,1000.31469726563,33.51,66.49,85.93,30.55,59.59,81.31,87.59,86.27
"9","Finland",76.75,139.95,"FIN",2019,821.884338378906,26.84,73.16,63.75,21.89,43.83,56.42,63.59,91
"10","Austria",76.19,138.69,"AUT",2019,1169.89624023438,26.82,73.18,64.11,22.75,44.44,58.04,60.66,75.09
"11","Netherlands",75.93,138.48,"NLD",2019,660.886291503906,27.57,72.43,67.71,33.37,51.37,58.11,64.7,99.58
"12","Belgium",75.53,137.14,"BEL",2019,1062.54992675781,46.71,53.29,62.8,21.46,43.14,53.17,65.92,86.27
"13","Switzerland",75.32,140.65,"CHE",2019,2158.1396484375,22.12,77.88,110.34,50.21,81.73,113.35,104.3,116.19
"14","United Kingdom",74.46,136.64,"GBR",2019,868.599609375,46.62,53.38,60.42,30.99,46.42,48.68,63.73,92.86
"15","Estonia",73.87,135.26,"EST",2019,629.222595214844,24.14,75.86,49.47,14.73,32.94,39.65,47.84,60.41
"16","Israel",73.73,134.95,"ISR",2019,697.846984863281,32.18,67.82,77.28,32.95,56.19,66.45,83.92,73.54
"17","Qatar",73.67,133.97,"QAT",2019,337.355285644531,14.15,85.85,60.56,50.37,55.71,51.61,58.46,98.13
"18","Lithuania",73.4,133.31,"LTU",2019,902.540832519531,32.55,67.45,43.1,15.31,29.88,35.36,39.19,55.67
"19","New Zealand",72.97,132.54,"NZL",2019,543.586547851563,44.61,55.39,68.96,29.43,50.15,67.69,63.87,85.02
"20","Mexico",72.82,131.43,"MEX",2019,467.953063964844,53.9,46.1,35.14,12.05,24.15,34.85,31.94,41.1
"21","Germany",72.45,131.73,"DEU",2019,863.654968261719,37.01,62.99,59.62,25.98,43.62,48.63,52.44,102.75
"22","Portugal",72.09,131.07,"PRT",2019,1071.24792480469,31.53,68.47,42.18,20.7,31.96,33.8,34.88,47.89
"23","Sri Lanka",72.02,130.17,"LKA",2019,259.933746337891,40.97,59.03,22.41,5.66,14.45,26.85,10.97,15.28
"24","Luxembourg",71.54,129.14,"LUX",2019,650.174377441406,35.58,64.42,72.15,47.95,60.64,67.3,73.74,96.13
"25","Singapore",71.09,131.83,"SGP",2019,1236.8818359375,27.22,72.78,79.09,65.09,72.43,71.36,52.2,94.65
"26","Canada",70.8,129.99,"CAN",2019,823.387451171875,43.63,56.37,68.78,35.06,52.74,68.1,64.28,101.67
"27","Turkey",70.7,127.27,"TUR",2019,200.438140869141,39.89,60.11,28.38,6.48,17.96,23.7,17.25,28.04
"28","Malaysia",70.14,126.44,"MYS",2019,391.719177246094,54.37,45.63,34.41,9.73,22.67,37.1,19.85,59.41
"29","United Arab Emirates",69.68,128.34,"ARE",2019,374.769866943359,14.87,85.13,58.01,37.34,48.18,46.72,53.87,118.94
"30","Argentina",69,125.05,"ARG",2019,608.177673339844,64.09,35.91,32.13,6.88,20.12,26.83,27.99,33.64
"31","United States",68.93,126.63,"USA",2019,1235.3388671875,48.41,51.59,69.92,46.86,58.95,70.06,65.75,99.88
"32","Ecuador",68.89,123.46,"ECU",2019,288.564788818359,57.87,42.13,35.73,9.73,23.36,32.95,25.81,33.55
"33","Sweden",68.81,125.93,"SWE",2019,863.479858398438,48.77,51.23,61.77,23.05,43.35,54.86,62.29,94.93
"34","Uruguay",67.97,122.76,"URY",2019,357.135375976563,52.13,47.87,59.05,15,38.09,48.69,57.73,28.64
"35","Philippines",67.71,121.16,"PHL",2019,184.155334472656,42.36,57.64,33.62,10.34,22.55,33.61,20.08,20.06
"36","Colombia",67.49,121.18,"COL",2019,178.922058105469,58.71,41.29,25.23,7.82,16.95,22.98,18.3,28.27
"37","Guatemala",66.98,119.62,"GTM",2019,296.250122070313,57.99,42.01,41.34,14.93,28.77,40.56,29.05,26.88
"38","China",66.7,119.66,"CHN",2019,310.091583251953,28.82,71.18,40.31,22.13,31.66,42.89,29.01,56.24
"39","Italy",66.67,120.83,"ITA",2019,932.128662109375,46.24,53.76,58.47,20.95,40.62,49.91,59.12,58
"40","Iceland",66.61,121.57,"ISL",2019,871.517944335938,24.3,75.7,86.59,35.81,62.43,82.44,88.64,82.62
"41","India",65.59,117.26,"IND",2019,115.590469360352,44.57,55.43,23.89,6.15,15.45,25.56,16.44,76.44
"42","Slovenia",65.14,120.12,"SVN",2019,423.190887451172,23.17,76.83,47.3,15.32,32.09,42.06,39.38,57.95
